Type,Tech Response Installation Sheet ID,Tech Response ID,Tech Response Installation Sheet No,Tech Response Installation Sheet Date Time,Remarks,Tech Response Installation Sheet Detail ID,Item ID,Rate,Quantity,Date & Time,User ID,User Name
Created,9,1,TR/INS/08/18/1/00009,2018-08-31 11:17,,17,669,525,0,2018-08-31 11:18:31,1,Admin
Deleted,9,,,,,,,,,2018-08-31 11:37:54,1,Admin
Created,10,35,TR/INS/09/18/35/00009,2018-09-06 15:27,,18,157,36,15,2018-09-06 15:28:51,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:00,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:03,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:07,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:10,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:14,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:17,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:20,12,Sanjaya
Posted,10,,,,,,,,,2018-09-06 15:29:24,12,Sanjaya
Created,11,104,TR/INS/09/18/104/00011,2018-09-10 09:23,,19,562,350,1,2018-09-10 09:24:31,12,Sanjaya
Posted,11,,,,,,,,,2018-09-10 09:24:37,12,Sanjaya
Created,12,104,TR/INS/09/18/104/00012,2018-09-10 10:10,,20,170,2.6,10,2018-09-10 10:12:00,12,Sanjaya
Created,12,104,TR/INS/09/18/104/00012,2018-09-10 10:10,,21,381,60,2,2018-09-10 10:13:47,12,Sanjaya
Posted,12,,,,,,,,,2018-09-10 10:13:55,12,Sanjaya
Created,13,114,TR/INS/09/18/114/00013,2018-09-11 12:03,,22,160,52.45,6,2018-09-11 12:09:00,12,Sanjaya
Posted,13,,,,,,,,,2018-09-11 12:10:53,12,Sanjaya
Created,14,114,TR/INS/09/18/114/00014,2018-09-11 12:09,,23,174,0.75,10,2018-09-11 12:12:41,12,Sanjaya
Posted,14,,,,,,,,,2018-09-11 12:12:49,12,Sanjaya
Created,15,114,TR/INS/09/18/114/00015,2018-09-11 12:11,,24,845,1.5,10,2018-09-11 12:14:22,12,Sanjaya
Posted,15,,,,,,,,,2018-09-11 12:14:29,12,Sanjaya
Created,16,128,TR/INS/09/18/128/00016,2018-09-17 10:14,,25,125,98,6,2018-09-17 10:16:13,12,Sanjaya
Posted,16,,,,,,,,,2018-09-17 10:16:21,12,Sanjaya
Posted,16,,,,,,,,,2018-09-17 10:16:24,12,Sanjaya
Posted,16,,,,,,,,,2018-09-17 10:16:26,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,26,700,6.5,6,2018-09-17 10:17:19,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,27,741,10,5,2018-09-17 10:18:11,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,28,159,45,30,2018-09-17 10:19:11,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,29,383,2.25,50,2018-09-17 10:20:16,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,30,174,0.75,50,2018-09-17 10:20:41,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,31,422,9.5,20,2018-09-17 10:21:11,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,32,170,2.6,15,2018-09-17 10:22:17,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,33,692,90,1,2018-09-17 10:24:51,12,Sanjaya
Created,17,128,TR/INS/09/18/128/00017,2018-09-17 10:16,,34,381,60,1,2018-09-17 10:26:16,12,Sanjaya
Posted,17,,,,,,,,,2018-09-17 10:26:23,12,Sanjaya
Approved,16,,,,,,,,,2018-09-17 11:32:07,22,Saminda
Approved,17,,,,,,,,,2018-09-17 11:32:07,22,Saminda
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,35,381,60,1,2018-09-20 14:08:16,12,Sanjaya
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,36,174,0.75,50,2018-09-20 14:08:59,12,Sanjaya
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,37,383,2.25,50,2018-09-20 14:10:03,12,Sanjaya
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,38,124,70,5,2018-09-20 14:13:24,12,Sanjaya
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,39,700,6.5,1,2018-09-20 14:17:18,12,Sanjaya
Updated,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,39,700,6.5,5,2018-09-20 14:18:28,12,Sanjaya
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,40,157,36,25,2018-09-20 14:36:55,12,Sanjaya
Created,18,116,TR/INS/09/18/116/00018,2018-09-20 13:44,,41,731,35,1,2018-09-20 14:37:57,12,Sanjaya
Created,19,116,TR/INS/09/18/116/00019,2018-09-20 14:39,,42,131,5,4,2018-09-20 14:39:48,12,Sanjaya
Created,19,116,TR/INS/09/18/116/00019,2018-09-20 14:39,,43,422,9.5,30,2018-09-20 14:42:28,12,Sanjaya
Posted,19,,,,,,,,,2018-09-20 14:43:49,12,Sanjaya
Posted,19,,,,,,,,,2018-09-20 14:43:53,12,Sanjaya
Posted,19,,,,,,,,,2018-09-20 14:43:57,12,Sanjaya
Posted,19,,,,,,,,,2018-09-20 14:44:01,12,Sanjaya
Posted,19,,,,,,,,,2018-09-20 14:44:04,12,Sanjaya
Posted,18,,,,,,,,,2018-09-20 14:47:31,12,Sanjaya
Posted,18,,,,,,,,,2018-09-20 14:47:35,12,Sanjaya
Approved,18,,,,,,,,,2018-09-21 09:01:06,21,Kumara
Approved,19,,,,,,,,,2018-09-21 09:01:06,21,Kumara
Created,20,116,TR/INS/09/18/116/00020,2018-09-21 14:30,,44,172,1.8,50,2018-09-21 14:31:04,12,Sanjaya
Posted,20,,,,,,,,,2018-09-21 14:44:03,13,Subash
Approved,20,,,,,,,,,2018-09-21 17:08:18,21,Kumara
Created,21,480,TR/INS/12/18/480/00021,2018-12-10 12:58,,45,101,9,2,2018-12-10 12:58:24,1,Admin
Posted,21,,,,,,,,,2018-12-10 12:58:37,1,Admin
Approved,21,,,,,,,,,2018-12-10 12:58:53,1,Admin
Created,22,291,TR/INS/12/18/291/00022,2018-12-19 11:28,,46,162,45.5,10,2018-12-19 11:30:48,12,Sanjaya
Created,22,291,TR/INS/12/18/291/00022,2018-12-19 11:28,,47,409,53,10,2018-12-19 11:34:49,12,Sanjaya
Posted,22,,,,,,,,,2018-12-26 14:47:05,1,Admin
Approved,22,,,,,,,,,2018-12-26 14:47:17,1,Admin
Created,23,704,TR/INS/01/19/704/00023,2019-01-02 15:25,,48,156,19.5,25,2019-01-02 15:27:35,12,Sanjaya
Created,23,704,TR/INS/01/19/704/00023,2019-01-02 15:25,,49,674,0.95,40,2019-01-02 15:28:42,12,Sanjaya
Created,24,640,TR/INS/01/19/640/00024,2019-01-04 09:17,,50,1241,34.5,5,2019-01-04 09:19:24,12,Sanjaya
Posted,24,,,,,,,,,2019-01-04 09:19:34,12,Sanjaya
Posted,24,,,,,,,,,2019-01-04 09:19:39,12,Sanjaya
Posted,24,,,,,,,,,2019-01-04 09:19:45,12,Sanjaya
Posted,24,,,,,,,,,2019-01-04 09:19:49,12,Sanjaya
Posted,24,,,,,,,,,2019-01-04 09:19:54,12,Sanjaya
Posted,24,,,,,,,,,2019-01-04 09:19:59,12,Sanjaya
Approved,24,,,,,,,,,2019-01-04 09:30:36,28,Manchanayake
Created,25,642,TR/INS/01/19/642/00025,2019-01-11 13:45,,51,162,45.5,50,2019-01-11 13:46:11,1,Admin
Created,25,642,TR/INS/01/19/642/00025,2019-01-11 13:45,,52,409,57,50,2019-01-11 13:47:09,1,Admin
Posted,25,,,,,,,,,2019-01-11 13:48:19,1,Admin
Approved,25,,,,,,,,,2019-01-11 13:54:11,1,Admin
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,53,162,45.5,50,2019-01-30 12:02:31,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,54,409,58,50,2019-01-30 12:14:18,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,55,313,55,2,2019-01-30 12:19:23,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,56,720,35,1,2019-01-30 12:20:21,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,57,113,295,8,2019-01-30 12:33:51,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,58,125,90,5,2019-01-30 12:34:27,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,59,639,350,1,2019-01-30 12:35:10,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,60,172,4,80,2019-01-30 12:39:00,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,61,174,0.75,80,2019-01-30 12:39:53,12,Sanjaya
Updated,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,60,172,4,50,2019-01-30 12:40:16,12,Sanjaya
Updated,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,61,174,0.75,50,2019-01-30 12:40:32,12,Sanjaya
Created,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,62,423,8,15,2019-01-30 12:42:32,12,Sanjaya
Updated,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,54,409,58,25,2019-01-30 12:44:17,12,Sanjaya
Updated,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,53,162,45.5,25,2019-01-30 12:44:30,12,Sanjaya
Updated,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,53,162,45.5,30,2019-01-30 12:44:45,12,Sanjaya
Updated,26,706,TR/INS/01/19/706/00026,2019-01-30 11:53,,54,409,58,30,2019-01-30 12:44:57,12,Sanjaya
Created,27,336,TR/INS/02/19/336/00027,2019-02-06 10:46,,63,160,65.25,75,2019-02-06 10:48:10,1,Admin
Created,27,336,TR/INS/02/19/336/00027,2019-02-06 10:46,,64,174,0.75,1,2019-02-06 10:49:10,1,Admin
Created,27,336,TR/INS/02/19/336/00027,2019-02-06 10:46,,65,172,4,100,2019-02-06 10:50:27,1,Admin
Updated,27,336,TR/INS/02/19/336/00027,2019-02-06 10:46,,64,174,0.75,100,2019-02-06 10:50:37,1,Admin
Created,27,336,TR/INS/02/19/336/00027,2019-02-06 10:46,,66,422,5,50,2019-02-06 10:51:16,1,Admin
Created,27,336,TR/INS/02/19/336/00027,2019-02-06 10:46,,67,381,55,2,2019-02-06 10:51:54,1,Admin
Posted,27,,,,,,,,,2019-02-06 10:52:16,1,Admin
Approved,27,,,,,,,,,2019-02-06 11:28:19,28,Manchanayake
Created,28,703,TR/INS/02/19/703/00028,2019-02-13 15:28,,68,162,45.5,35,2019-02-13 15:29:41,12,Sanjaya
Created,28,703,TR/INS/02/19/703/00028,2019-02-13 15:28,,69,639,350,1,2019-02-13 15:38:31,12,Sanjaya
Created,28,703,TR/INS/02/19/703/00028,2019-02-13 15:28,,70,1242,1,50,2019-02-13 15:39:40,12,Sanjaya
Deleted,28,,,,,70,,,,2019-02-13 15:53:46,1,Admin
Created,28,703,TR/INS/02/19/703/00028,2019-02-13 15:28,,71,174,0.75,50,2019-02-13 15:54:40,1,Admin
Created,28,703,TR/INS/02/19/703/00028,2019-02-13 15:28,,72,383,2.5,50,2019-02-13 15:55:03,1,Admin
Created,28,703,TR/INS/02/19/703/00028,2019-02-13 15:28,,73,409,55.65,35,2019-02-13 15:55:20,1,Admin
Posted,28,,,,,,,,,2019-02-13 15:55:30,1,Admin
Approved,28,,,,,,,,,2019-02-13 15:57:54,28,Manchanayake
Created,29,703,TR/INS/02/19/703/00029,2019-02-14 10:27,,74,313,55,2,2019-02-14 10:27:45,12,Sanjaya
Created,29,703,TR/INS/02/19/703/00029,2019-02-14 10:27,,75,720,35,1,2019-02-14 10:28:05,12,Sanjaya
Updated,29,703,TR/INS/02/19/703/00029,2019-02-14 10:27,,74,313,55,2,2019-03-02 17:48:02,24,Nilmini
Updated,29,703,TR/INS/02/19/703/00029,2019-02-14 10:27,,74,313,55,2,2019-03-02 17:49:23,24,Nilmini
Updated,29,703,TR/INS/02/19/703/00029,2019-02-14 10:27,,76,1230,60,2,2019-03-02 17:50:26,24,Nilmini
Updated,29,703,TR/INS/02/19/703/00029,2019-02-14 10:27,,77,1247,35,1,2019-03-02 17:53:02,24,Nilmini
Posted,29,,,,,,,,,2019-03-02 17:53:14,24,Nilmini
Posted,29,,,,,,,,,2019-03-02 17:53:19,24,Nilmini
Approved,29,,,,,,,,,2019-03-02 17:53:26,24,Nilmini
Created,30,1035,TR/INS/03/19/1035/00030,2019-03-05 12:42,,78,383,2.5,30,2019-03-05 12:44:32,12,Sanjaya
Created,30,1035,TR/INS/03/19/1035/00030,2019-03-05 12:42,,79,174,0.75,30,2019-03-05 12:46:11,12,Sanjaya
